"Team_ID","Team_Name","Team_Abbr","3P","3PA","3Per","2P","2PA","2Per","3PA_Per","Season_Win_Per","Year","24+ ft. Atp","Less Than 8 ft. Atp","16-24 ft. Atp","8-16 ft. Atp","Back Court Atp"
1610612758,"Sacramento Kings","SAC",660,1838,0.359,2623,5244,0.5,0.26,0.402,2015,1821,3419,1095,730,NA
1610612765,"Detroit Pistons","DET",740,2144,0.345,2371,4939,0.48,0.303,0.537,2015,2112,3132,824,983,32
1610612762,"Utah Jazz","UTA",694,1956,0.355,2263,4637,0.488,0.297,0.488,2015,1933,2736,828,1073,NA
1610612763,"Memphis Grizzlies","MEM",503,1520,0.331,2515,5338,0.471,0.222,0.512,2015,1496,3192,1180,966,24
1610612739,"Cleveland Cavaliers","CLE",878,2423,0.362,2291,4460,0.514,0.352,0.695,2015,2417,2723,857,880,6
1610612760,"Oklahoma City Thunder","OKC",691,2115,0.327,2545,5053,0.504,0.295,0.573,2016,2098,3322,778,951,19
1610612751,"Brooklyn Nets","BKN",876,2590,0.338,2225,4395,0.506,0.371,0.244,2016,2567,3118,487,790,23
1610612748,"Miami Heat","MIA",806,2206,0.365,2394,4824,0.496,0.314,0.5,2016,2189,2914,923,987,NA
1610612753,"Orlando Magic","ORL",700,2136,0.328,2438,4994,0.488,0.3,0.354,2016,2111,2757,1121,1115,NA
1610612750,"Minnesota Timberwolves","MIN",601,1722,0.349,2634,5199,0.507,0.249,0.378,2016,1709,3017,1285,897,13
1610612759,"San Antonio Spurs","SAS",753,1925,0.391,2469,4937,0.5,0.281,0.744,2016,1912,2540,1304,1093,NA
1610612738,"Boston Celtics","BOS",983,2739,0.359,2183,4236,0.515,0.393,0.646,2016,2715,2791,775,670,NA
1610612740,"New Orleans Pelicans","NOP",766,2191,0.35,2442,4934,0.495,0.308,0.415,2016,2178,2948,1066,920,NA
1610612757,"Portland Trail Blazers","POR",850,2270,0.374,2391,4787,0.499,0.322,0.5,2016,2253,2869,1044,874,NA
1610612755,"Philadelphia 76ers","PHI",825,2428,0.34,2257,4549,0.496,0.348,0.341,2016,2421,3018,696,835,NA
1610612745,"Houston Rockets","HOU",1178,3299,0.357,2124,3846,0.552,0.462,0.671,2016,3282,3034,361,451,NA
1610612754,"Indiana Pacers","IND",699,1872,0.373,2512,5046,0.498,0.271,0.512,2016,1850,2717,1350,979,NA
1610612749,"Milwaukee Bucks","MIL",713,1932,0.369,2462,4769,0.516,0.288,0.512,2016,1919,3313,724,732,NA
1610612761,"Toronto Raptors","TOR",725,1992,0.364,2486,4922,0.505,0.288,0.622,2016,1980,2791,1055,1075,13
1610612741,"Chicago Bulls","CHI",623,1828,0.341,2546,5310,0.479,0.256,0.5,2016,1817,2927,1278,1105,NA
1610612743,"Denver Nuggets","DEN",870,2361,0.368,2507,4829,0.519,0.328,0.488,2016,2340,3315,779,735,NA
1610612737,"Atlanta Hawks","ATL",728,2132,0.341,2394,4781,0.501,0.308,0.524,2016,2116,2889,1046,846,NA
1610612766,"Charlotte Hornets","CHA",824,2345,0.351,2269,4653,0.488,0.335,0.439,2016,2328,2650,1062,941,17
1610612752,"New York Knicks","NYK",703,2020,0.348,2540,5234,0.485,0.278,0.378,2016,1997,2826,1245,1163,NA
1610612747,"Los Angeles Lakers","LAL",722,2086,0.346,2494,5054,0.493,0.292,0.317,2016,2068,3196,841,1017,18
1610612742,"Dallas Mavericks","DAL",877,2472,0.355,2090,4277,0.489,0.366,0.402,2016,2452,2029,1279,969,NA
1610612764,"Washington Wizards","WAS",753,2022,0.372,2632,5107,0.515,0.284,0.598,2016,2009,2864,1205,1038,NA
1610612744,"Golden State Warriors","GSW",981,2561,0.383,2550,4578,0.557,0.359,0.817,2016,2527,2708,923,947,34
1610612756,"Phoenix Suns","PHX",615,1852,0.332,2655,5406,0.491,0.255,0.293,2016,1830,3040,1200,1166,22
1610612746,"LA Clippers","LAC",832,2214,0.376,2401,4575,0.525,0.326,0.622,2016,2195,2554,1341,680,19
1610612758,"Sacramento Kings","SAC",732,1953,0.375,2368,4774,0.496,0.29,0.39,2016,1934,2817,1045,912,NA
1610612765,"Detroit Pistons","DET",630,1911,0.33,2638,5367,0.492,0.263,0.451,2016,1880,2863,1142,1362,31
1610612762,"Utah Jazz","UTA",791,2127,0.372,2242,4387,0.511,0.327,0.622,2016,2112,2670,770,947,15
1610612763,"Memphis Grizzlies","MEM",765,2165,0.353,2217,4685,0.473,0.316,0.524,2016,2130,2874,988,823,NA
1610612739,"Cleveland Cavaliers","CLE",1065,2772,0.384,2208,4184,0.528,0.399,0.622,2016,2762,2572,797,814,NA
1610612760,"Oklahoma City Thunder","OKC",881,2491,0.354,2390,4730,0.505,0.345,0.585,2017,2465,2791,1000,942,NA
1610612751,"Brooklyn Nets","BKN",1041,2924,0.356,2095,4190,0.5,0.411,0.341,2017,2905,2880,443,872,NA
1610612748,"Miami Heat","MIA",903,2506,0.36,2281,4491,0.508,0.358,0.537,2017,2486,2856,730,906,NA
1610612753,"Orlando Magic","ORL",844,2405,0.351,2338,4637,0.504,0.342,0.305,2017,2386,2795,793,1055,13
1610612750,"Minnesota Timberwolves","MIN",658,1845,0.357,2707,5218,0.519,0.261,0.573,2017,1828,2951,1061,1210,NA
1610612759,"San Antonio Spurs","SAS",696,1977,0.352,2506,5022,0.499,0.282,0.573,2017,1954,2692,1008,1326,NA
1610612738,"Boston Celtics","BOS",939,2492,0.377,2202,4483,0.491,0.357,0.671,2017,2469,2655,838,993,NA
1610612740,"New Orleans Pelicans","NOP",837,2312,0.362,2663,4929,0.54,0.319,0.585,2017,2294,3133,790,1009,NA
1610612757,"Portland Trail Blazers","POR",845,2308,0.366,2377,4824,0.493,0.324,0.598,2017,2304,2886,905,1033,NA
1610612755,"Philadelphia 76ers","PHI",901,2445,0.369,2448,4653,0.526,0.344,0.634,2017,2424,2860,761,1033,NA
1610612745,"Houston Rockets","HOU",1256,3470,0.362,1918,3436,0.558,0.502,0.793,2017,3449,2579,303,555,20
1610612754,"Indiana Pacers","IND",741,2010,0.369,2604,5073,0.513,0.284,0.585,2017,1987,2829,1353,893,NA
1610612749,"Milwaukee Bucks","MIL",718,2024,0.355,2539,4783,0.531,0.297,0.537,2017,2007,2883,868,1035,NA
1610612761,"Toronto Raptors","TOR",968,2705,0.358,2415,4464,0.541,0.377,0.72,2017,2676,3023,539,907,24
1610612741,"Chicago Bulls","CHI",906,2549,0.355,2264,4736,0.478,0.35,0.329,2017,2530,2804,982,952,NA
1610612743,"Denver Nuggets","DEN",940,2536,0.371,2398,4566,0.525,0.357,0.561,2017,2505,3165,528,877,NA
1610612737,"Atlanta Hawks","ATL",917,2544,0.36,2213,4471,0.495,0.363,0.293,2017,2512,2687,860,930,NA
1610612766,"Charlotte Hornets","CHA",824,2233,0.369,2373,4873,0.487,0.314,0.439,2017,2208,2771,985,1118,24
1610612752,"New York Knicks","NYK",673,1914,0.352,2661,5279,0.504,0.266,0.354,2017,1892,2817,1142,1319,NA
1610612747,"Los Angeles Lakers","LAL",822,2384,0.345,2516,4864,0.517,0.329,0.427,2017,2360,3312,698,858,NA
1610612742,"Dallas Mavericks","DAL",967,2688,0.36,2161,4354,0.496,0.382,0.293,2017,2666,2443,965,947,NA
1610612764,"Washington Wizards","WAS",814,2173,0.375,2461,4845,0.508,0.31,0.524,2017,2152,2492,1049,1308,NA
1610612744,"Golden State Warriors","GSW",926,2369,0.391,2583,4611,0.56,0.339,0.707,2017,2339,2416,1008,1190,NA
1610612756,"Phoenix Suns","PHX",763,2286,0.334,2390,4855,0.492,0.32,0.256,2017,2270,3002,759,1093,NA
1610612746,"LA Clippers","LAC",777,2196,0.354,2525,4808,0.525,0.314,0.512,2017,2179,3345,637,827,16
1610612758,"Sacramento Kings","SAC",738,1967,0.375,2441,5096,0.479,0.278,0.329,2017,1932,2778,1131,1195,27
1610612765,"Detroit Pistons","DET",886,2373,0.373,2322,4756,0.488,0.333,0.476,2017,2348,2860,829,1071,21
1610612762,"Utah Jazz","UTA",887,2425,0.366,2252,4372,0.515,0.357,0.585,2017,2408,2728,734,912,NA
1610612763,"Memphis Grizzlies","MEM",758,2152,0.352,2255,4636,0.486,0.317,0.268,2017,2123,2830,895,913,NA
1610612739,"Cleveland Cavaliers","CLE",981,2636,0.372,2330,4314,0.54,0.379,0.61,2017,2617,2649,835,835,NA
